songName,songAlbum,songArtist,songDurationMillis,songPlayCount,songRating,songComposer,songYear
Hollywood Girl,Telegraph,Drake Bell,173000,0,0,Drake Bell/G. Petersen/M. Corcoran,2005
Golden Days,Telegraph,Drake Bell,224000,0,0,D. Tashian; Drake Bell; G. Garner,2005
Highway to Nowhere,Telegraph,Drake Bell,240000,0,0,Drake Bell/M. Shallman/S.W. Bennett,2005
"Punches, Kicks, Trenches And Swords","Punches, Kicks, Trenches And Swords",Pint Shot Riot,211000,0,0,,2008
TeMPlatonic,Ragnarok Online,SoundTeMP,153000,2,0,SoundTeMP,2009
Emotion Creep,Ragnarok Online BGM,SoundTeMP,244000,0,0,SoundTeMP,2010
Drake Bell - Leave it all Behi,,,219000,0,0,,0
jonas brothers - lovebug (no party).mp3,,,206000,3,0,,0
linkin park - new divide.mp3,,,161000,0,0,,0
Linkin Park Points Of Authority.mp3,,,231000,23,0,,0
Linkin Park- And One.mp3,,,274000,0,0,,0
meow.mp3,,,1000,0,0,,0
Metallica-FadeToBlack.mp3,,,291000,0,0,,0
shakira - Whatever Whenever (,,,222000,0,0,,0
South Park - Timmy.mp3,,,102000,0,0,,0
YouTube- Nodame Cantabile Ending Son.mp3,,,83000,1,0,,0
Glee - Dont Stop Believing.mp3,,,231000,1,0,,0
Glee - The Boy Is Mine.MP3,,,294000,0,0,,0
Katy Perry - E.T..mp3,,,308000,2,0,,0
"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer.m4a",,,266077,0,0,,0
Planetary Creation.mp3,,,378000,11,0,,0
Dazzling Snow,Ragnarok Online BGM,SoundTeMP,137000,0,0,SoundTeMP,2010
eric pressley - da linnip,Music,,193000,0,0,,0
Darrell Brown - Feewa Foona Wabee.MP3,,,179000,2,0,,0
"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer.m4a",,,266077,25,0,,0
Circles,Telegraph,Drake Bell,247000,0,0,Drake Bell,2005
At Dusk,Ragnarok Online BGM,Denis Koishi,256000,2,0,,2009
See You Again,Meet Miley Cyrus,Hannah Montana,191000,0,0,,0
I Miss You,Meet Miley Cyrus,Hannah Montana,238000,0,0,,0
Let's Dance,Meet Miley Cyrus,Hannah Montana,183000,0,0,,0
Right Here,Meet Miley Cyrus,Hannah Montana,165000,0,0,,0
Eric Pressly -Sta Moogie.MP3,,,232000,2,0,,0
Defying Gravity,"Glee: The Music, Vol. 1",Glee,142000,1,0,S. Schwartz,2009
There And Back Again,Daughtry,Chris Daughtry,197000,0,0,,2006
Afrojack - Rocker(Live Rip).mp3,,,225000,0,0,,0
Afrojack and Steve Aoki featuring Miss Palmer - No Beef (Official Video).mp3,,,331000,0,0,,0
Tony Igy-Astronomia(Dj KaZanöev remix),aleksandr375.promodj.ru,Dj KaZanöev,272000,0,0,,2011
Teardrops (Troika Mashup),Teardrops -- Single,Avicii x Coldplay x Matthew Koma x Krewella,353000,0,0,,2013
Axwell Sebastian Ingrosso Vs Salem Al Fakir - Its True ( Rick Costa Remix) greekhouseloverz.blogspot.com.mp3,www.djblaze.fw.hu,www.djblaze.fw.hu,452000,0,0,www.djblaze.fw.hu,0
Benny Benassi - House Music (Original Mix)  - dropTheVibe.com,, - dropTheVibe.com,242000,0,0,,2010
Benny Benassi – Satisfaction (RL Grime Remix) www.KlubowaMuza.net .mp3,,,229000,0,0,,0
Chuckie feat Junxter Jack - Make Some Noise (Original Mix) [HD].mp3,,,288000,0,0,,0
clarity (vicetone remix).mp3,,,263000,0,0,,0
cold_play-yellow###.mp3,,,191000,0,0,,0
David Guetta - Titanium (feat Sia).mp3,www.housexclusive.net,www.housexclusive.net,230000,0,0,,0
VN88.com - DJ Penguin Upload,VN88.com - DJ Penguin Upload,VN88.com - DJ Penguin Upload,211000,0,0,,2012
"Dimitri Vegas, MOGUAI & Like Mike - Mammoth (Original Mix).mp3",,,332000,0,0,,0
Dj Blend (Hard Mix).mp3,,,654000,0,0,,0
Dj Blend-One Love (Quick mix).mp3,,,484000,0,0,,0
DJ Earworm - United State of Pop 2009 (Blame It on the Pop) - Mashup of Top 25 Billboard Hits.mp3,,,285000,0,0,,0
